id;uuid;directory_uuid;name;remote_path;tenant_id;content_type;sizz;create_date;user_name;content;content_content_type;virtual_path;is_dir
1;bypass Right-sized;quantify Avon Profit-focused;Object-based sticky;panel;96293;blue;78946;2022-02-07T18:56:26;Accounts cyan;../fake-data/blob/hipster.png;image/png;Shores Shoes;false
2;Bahamas utilisation Home;Unbranded Mozambique teal;connecting 5th;overriding;91187;support;67639;2022-02-07T14:26:41;Usability Rubber;../fake-data/blob/hipster.png;image/png;Personal logistical Rustic;false
3;leading-edge;Shilling Germany;Implemented;service-desk;77433;e-commerce back-end;66026;2022-02-06T22:35:11;focus deposit Pants;../fake-data/blob/hipster.png;image/png;grey;false
4;mission-critical plum;protocol;Music IB;Mouse;51978;synthesize Games;21908;2022-02-07T16:58:19;Generic regional;../fake-data/blob/hipster.png;image/png;Designer Station Loan;false
5;invoice Passage;Avon;Alabama;synthesizing Security;99566;Refined;58774;2022-02-07T02:31:19;Agent Bulgaria Officer;../fake-data/blob/hipster.png;image/png;world-class Market Reduced;false
6;IB Internal;Account Cambridgeshire Internal;indigo;Tactics Director connect;59894;Extensions Dynamic Christmas;73449;2022-02-06T23:24:30;incentivize JBOD magnetic;../fake-data/blob/hipster.png;image/png;maroon;true
7;wireless Generic Streamlined;partnerships Bedfordshire turquoise;Practical;initiatives Regional;51960;auxiliary web-enabled;86813;2022-02-07T14:44:18;Markets;../fake-data/blob/hipster.png;image/png;primary;false
8;compress connect navigating;Analyst;Frozen RAM;Switchable;17658;invoice;16218;2022-02-07T00:28:12;firewall Georgia;../fake-data/blob/hipster.png;image/png;Marks;false
9;synthesizing;Guilder;Strategist;Azerbaijan deposit;86801;up Bedfordshire Frozen;82989;2022-02-07T11:45:30;mindshare Salad;../fake-data/blob/hipster.png;image/png;Handcrafted Industrial;true
10;viral e-services;Minnesota solutions;functionalities;Decentralized innovate Viaduct;6744;maroon Fantastic;79340;2022-02-07T04:33:09;Devolved empower Indiana;../fake-data/blob/hipster.png;image/png;SDD;true
