id;uuid;parent_uuid;name;tenant_id;create_date;user_name;num_files;is_dir;virtual_path
1;Upgradable;Enterprise-wide challenge West;productize;76338;2022-02-07T14:34:49;sky;74436;true;superstructure
2;dynamic;data-warehouse;Orchestrator invoice;76316;2022-02-07T09:37:44;Industrial Expanded 24/7;88683;false;Sausages THX SAS
3;contingency reboot;protocol Dobra Generic;Bedfordshire transmitter;26302;2022-02-07T17:39:47;Representative interface;57592;false;Health input Cotton
4;synthesize Manager Towels;Granite deposit;Tuna Plain;40038;2022-02-07T10:30:43;maximized Central;68855;true;Customer-focused static Administrator
5;extensible;Loan protocol;override;3927;2022-02-07T05:34:41;facilitate mindshare Inverse;35191;true;content Account
6;Virginia radical;quantify Bacon;Mission Identity Kids;38216;2022-02-07T11:08:07;convergence;60252;false;virtual Data Texas
7;Kazakhstan;Division maximize Analyst;Intranet monitor Chief;11266;2022-02-07T14:20:24;Table Pound;26179;false;Berkshire
8;Berkshire;cross-platform;Directives Terrace systematic;20548;2022-02-07T11:19:03;Cambridgeshire;83182;true;Mill
9;primary Regional Bike;schemas azure Salad;action-items Home value-added;28604;2022-02-07T06:20:48;XSS RSS contextually-based;96517;true;Frozen
10;Group;disintermediate software;Brunei SMTP;86105;2022-02-07T09:54:46;Jewelery contextually-based Investor;75655;false;Global Cambridgeshire clicks-and-mortar
